Scenario,Solver,n_features,n_samples,Time_ms,RelError,Timestamp
narrow,Cholesky_Winograd,12,4096,2.7384,9.422674e-02,2026-06-01 10:42:59
narrow,Gauss_Naive,22,4096,7.6882,9.227100e-02,2026-06-01 10:42:59
narrow,Gauss_Perminov,22,4096,7.2445,9.227100e-02,2026-06-01 10:42:59
narrow,Gauss_Winograd,22,4096,7.5232,9.227100e-02,2026-06-01 10:42:59
narrow,Cholesky_Naive,22,4096,7.6545,9.227100e-02,2026-06-01 10:42:59
narrow,Cholesky_Perminov,22,4096,7.1158,9.227100e-02,2026-06-01 10:42:59
narrow,Cholesky_Winograd,22,4096,7.5055,9.227100e-02,2026-06-01 10:42:59
narrow,Gauss_Naive,32,4096,15.5273,9.088388e-02,2026-06-01 10:42:59
narrow,Gauss_Perminov,32,4096,14.2069,9.088388e-02,2026-06-01 10:42:59
narrow,Gauss_Winograd,32,4096,14.9303,9.088388e-02,2026-06-01 10:42:59
narrow,Cholesky_Naive,32,4096,15.4303,9.088388e-02,2026-06-01 10:42:59
narrow,Cholesky_Perminov,32,4096,14.0419,9.088388e-02,2026-06-01 10:42:59
narrow,Cholesky_Winograd,32,4096,14.637,9.088388e-02,2026-06-01 10:42:59
narrow,Gauss_Naive,18,4096,5.7241,9.283199e-02,2026-06-01 10:42:59
narrow,Gauss_Perminov,18,4096,5.1984,9.283199e-02,2026-06-01 10:42:59
narrow,Gauss_Winograd,18,4096,5.4581,9.283199e-02,2026-06-01 10:42:59
narrow,Cholesky_Naive,18,4096,5.4468,9.283199e-02,2026-06-01 10:43:00
narrow,Cholesky_Perminov,18,4096,5.1251,9.283199e-02,2026-06-01 10:43:00
narrow,Cholesky_Winograd,18,4096,5.3848,9.283199e-02,2026-06-01 10:43:00
